Brand_Model,Engine_Type,Condition,Region,Year,Mileage,Price
Mercedes-Benz C-Class,Diesel,Excellent,Samara,2010,95469,680232
Kia K5,Electric,Used,Moscow,2015,192087,262809
Lada Niva,Diesel,Fair,Moscow,2015,154930,237580
Renault Sandero,Diesel,Good,Krasnodar,2015,94684,484568
Hyundai Solaris,Diesel,Fair,Rostov,2021,128902,945900
Hyundai Tucson,Hybrid,Good,Rostov,2014,226462,433172
Toyota Corolla,Electric,Fair,St. Petersburg,2019,14848,781453
Toyota Corolla,Diesel,Used,Samara,2014,23279,370076
Hyundai Tucson,Electric,Good,Moscow,2021,268004,658199
Hyundai Creta,Hybrid,Used,Rostov,2018,293923,392829
Kia K5,Petrol,Used,Krasnodar,2018,287046,677074
Nissan Qashqai,Diesel,Fair,Novosibirsk,2015,36817,400241
Mercedes-Benz E-Class,Hybrid,Fair,Kazan,2019,35358,1873086
Nissan Qashqai,Hybrid,Good,Krasnodar,2013,99958,274490
Toyota RAV4,Diesel,Excellent,Kazan,2012,166684,171237
Skoda Octavia,Petrol,Fair,Novosibirsk,2016,62195,583378
Hyundai Tucson,Hybrid,Excellent,Samara,2021,211088,875740
Renault Sandero,Hybrid,Good,Kazan,2014,220426,396768
Lada Niva,Diesel,Good,Krasnodar,2019,17158,167690
Nissan X-Trail,Electric,Used,Moscow,2019,159128,645707
Skoda Octavia,Petrol,Fair,Rostov,2022,25924,1166856
Hyundai Tucson,Hybrid,Good,Krasnodar,2013,249211,179482
BMW 3-Series,Petrol,Used,Rostov,2010,292818,573365
Volkswagen Polo,Petrol,Used,Kazan,2011,186985,161193
Hyundai Tucson,Petrol,Excellent,Krasnodar,2017,200060,575284
Mercedes-Benz GLE,Hybrid,Used,Krasnodar,2016,235134,1066610
Skoda Kodiaq,Electric,Excellent,Rostov,2016,269027,315160
BMW 5-Series,Diesel,Good,Ekaterinburg,2014,70343,885742
Nissan X-Trail,Hybrid,Excellent,Samara,2010,146109,202000
Kia K5,Hybrid,Excellent,St. Petersburg,2013,75261,280123
Mercedes-Benz E-Class,Electric,Excellent,Moscow,2013,131800,692073
Volkswagen Tiguan,Electric,Excellent,Krasnodar,2011,175284,256525
Nissan Juke,Hybrid,Used,St. Petersburg,2016,175377,440732
Toyota Corolla,Petrol,Excellent,Krasnodar,2014,175397,449095
Toyota Camry,Hybrid,Fair,Kazan,2011,171653,150000
Renault Duster,Petrol,Used,Kazan,2017,73539,478604
Lada Niva,Electric,Fair,Ekaterinburg,2022,117800,552107
Toyota Camry,Electric,Excellent,Ekaterinburg,2022,144542,1050474
Kia Sportage,Petrol,Excellent,St. Petersburg,2018,82094,558124
Skoda Rapid,Diesel,Fair,Moscow,2011,73807,415192
Nissan Juke,Petrol,Used,Krasnodar,2019,94395,602559
Volkswagen Polo,Petrol,Used,St. Petersburg,2012,160482,154808
Nissan Juke,Petrol,Good,Samara,2017,108425,705199
Volkswagen Polo,Petrol,Fair,Novosibirsk,2023,255722,951550
Mercedes-Benz E-Class,Petrol,Excellent,Samara,2023,221261,2607489
Volkswagen Passat,Electric,Excellent,Samara,2017,180660,383209
Nissan X-Trail,Petrol,Excellent,Krasnodar,2021,77239,938631
Renault Duster,Petrol,Used,Novosibirsk,2015,182581,534198
Skoda Octavia,Hybrid,Used,Krasnodar,2023,260947,976576
Mercedes-Benz GLE,Hybrid,Good,Rostov,2020,130180,1899273
Lada Granta,Hybrid,Excellent,Moscow,2016,160283,269610
Renault Sandero,Diesel,Good,Moscow,2020,254432,829027
Toyota RAV4,Diesel,Excellent,Samara,2016,56503,372004
BMW 3-Series,Petrol,Fair,Rostov,2022,172828,2375181
Skoda Octavia,Hybrid,Excellent,Samara,2012,173197,150000
Volkswagen Passat,Petrol,Used,Rostov,2019,98458,799093
Renault Duster,Petrol,Good,Rostov,2012,195634,182946
Nissan Qashqai,Hybrid,Excellent,Krasnodar,2017,207309,416755
Toyota Corolla,Petrol,Good,Krasnodar,2014,225521,252059
Toyota Camry,Hybrid,Excellent,Kazan,2023,118081,1272297
Toyota Corolla,Petrol,Excellent,Krasnodar,2020,160929,851702
Renault Logan,Petrol,Used,Kazan,2010,107199,279412
Lada Niva,Hybrid,Good,Rostov,2018,115782,150000
Kia K5,Hybrid,Fair,Krasnodar,2020,66759,874568
Lada Niva,Petrol,Fair,Rostov,2017,205547,150000
Kia Rio,Petrol,Excellent,Krasnodar,2019,291101,466732
Volkswagen Tiguan,Hybrid,Excellent,Ekaterinburg,2019,56409,696798
Hyundai Solaris,Diesel,Good,Rostov,2018,203667,515944
Kia Sportage,Hybrid,Excellent,Novosibirsk,2011,179431,339477
Mercedes-Benz GLE,Hybrid,Used,Samara,2024,122008,3292367
Skoda Octavia,Electric,Used,Kazan,2016,167373,566779
Renault Logan,Electric,Fair,Samara,2020,263153,610961
BMW 3-Series,Electric,Excellent,Novosibirsk,2018,223521,1545032
Toyota Camry,Diesel,Good,Kazan,2014,214035,433076
Volkswagen Passat,Hybrid,Excellent,Novosibirsk,2016,11765,600774
Volkswagen Polo,Hybrid,Used,Krasnodar,2017,181611,655182
Renault Duster,Hybrid,Excellent,Rostov,2013,15176,444517
Nissan Qashqai,Hybrid,Used,St. Petersburg,2021,144890,825921
Renault Duster,Diesel,Good,Krasnodar,2023,18799,1409767
Kia K5,Diesel,Good,Ekaterinburg,2014,128452,451384
Hyundai Solaris,Petrol,Fair,Samara,2010,246189,179938
BMW 3-Series,Petrol,Used,Krasnodar,2013,30565,799760
BMW 5-Series,Hybrid,Good,Krasnodar,2020,61987,2180208
Skoda Kodiaq,Electric,Fair,St. Petersburg,2012,7190,307550
Skoda Octavia,Diesel,Used,Samara,2021,133515,865975
Nissan Qashqai,Diesel,Used,St. Petersburg,2012,246312,345637
Renault Logan,Hybrid,Excellent,Krasnodar,2020,215463,667438
Mercedes-Benz E-Class,Petrol,Used,Novosibirsk,2012,15532,676139
Toyota RAV4,Hybrid,Excellent,Rostov,2016,43836,458226
Lada Granta,Hybrid,Excellent,Krasnodar,2011,28876,207819
Skoda Kodiaq,Diesel,Fair,Rostov,2022,129963,1074634
